ticker,Date,vader_score,n_headlines,finbert_score
AAPL,2022-06-03,0.055616673,12,-0.43751693
AAPL,2022-06-04,0.125,2,0.019780017
AAPL,2022-06-05,0.067433335,3,0.0068892254
AAPL,2022-06-06,0.14311667,12,0.21204259
AAPL,2022-06-07,0.20584166,12,0.10381532
AAPL,2022-06-08,0.042925,12,-0.047540214
AAPL,2022-06-09,0.13448334,12,-0.3856083
AAPL,2022-06-10,0.05276667,12,-0.12338624
AAPL,2022-06-11,0.062100004,4,0.15468657
AAPL,2022-06-12,0.13546667,6,-0.07696231
AAPL,2022-06-13,-0.11800834,12,0.0059116557
AAPL,2022-06-14,0.12193333,12,0.261879
AAPL,2022-06-15,0.020808334,12,0.028887486
AAPL,2022-06-16,-0.026483342,12,-0.24170853
AAPL,2022-06-17,0.08717499,12,0.059402306
AAPL,2022-06-18,0.24695,2,0.13622023
AAPL,2022-06-20,0.090814285,7,0.23961516
AAPL,2022-06-21,0.128525,12,0.028251924
AAPL,2022-06-22,0.08509167,12,0.16208893
AAPL,2022-06-23,0.043533336,12,0.046201717
AAPL,2022-06-24,0.13011666,12,0.035833165
AAPL,2022-06-25,0.1147,4,-0.22194096
AAPL,2022-06-26,0.25869998,7,-0.103578635
AAPL,2022-06-27,0.08996666,12,-0.121032245
AAPL,2022-06-28,-0.05205,12,-0.2133223
AAPL,2022-06-29,0.12979166,12,0.044783253
AAPL,2022-06-30,-0.0229,12,-0.3061592
AAPL,2022-07-01,0.08470833,12,-0.07184132
AAPL,2022-07-02,0.012077779,9,-0.2017867
AAPL,2022-07-03,0.1507,4,0.17891122
AAPL,2022-07-04,0.30435556,9,0.23115605
AAPL,2022-07-05,0.0907,11,-0.12794577
AAPL,2022-07-06,0.028941667,12,0.13269813
AAPL,2022-07-07,0.233625,12,0.06722833
AAPL,2022-07-08,-0.2075,6,-0.2995508
AAPL,2022-07-09,0.2112,3,-0.24387372
AAPL,2022-07-11,0.20876665,12,0.08826729
AAPL,2022-07-12,0.12670833,12,0.029445097
AAPL,2022-07-13,0.17139167,12,-0.0023624375
AAPL,2022-07-14,0.14335,12,-0.081554055
AAPL,2022-07-15,0.11195833,12,0.17777763
AAPL,2022-07-17,0.19412,5,-0.11187954
AAPL,2022-07-18,0.11371667,12,-0.5082442
AAPL,2022-07-19,0.06975833,12,0.20758285
AAPL,2022-07-20,0.25408334,12,0.017536119
AAPL,2022-07-21,0.1876,12,0.10530912
AAPL,2022-07-22,0.011466667,12,-0.3037931
AAPL,2022-07-23,-0.024133334,3,0.12434264
AAPL,2022-07-24,0.0794125,8,-0.15835522
AAPL,2022-07-25,0.145475,12,-0.01784668
AAPL,2022-07-26,-0.15164167,12,-0.45781693
AAPL,2022-07-27,-0.17000832,12,-0.10380193
AAPL,2022-07-28,0.012616669,12,-0.37849995
AAPL,2022-07-29,0.16665833,12,0.33234712
AAPL,2022-07-30,0.0,1,0.4879103
AAPL,2022-07-31,0.31845,2,0.31889835
AAPL,2022-08-01,0.014674996,12,-0.24398296
AAPL,2022-08-02,0.026536359,11,0.02777996
AAPL,2022-08-03,0.24549167,12,0.11893753
AAPL,2022-08-04,0.10159167,12,-0.23275925
AAPL,2022-08-05,0.019885713,7,-0.12017413
AAPL,2022-08-06,-0.005690001,10,-0.11665668
AAPL,2022-08-07,0.20015001,6,-0.08088714
AAPL,2022-08-08,0.07123333,12,0.20564134
AAPL,2022-08-09,-0.11110833,12,-0.35298586
AAPL,2022-08-10,0.110408336,12,0.35533214
AAPL,2022-08-11,0.09481666,12,0.20442319
AAPL,2022-08-12,0.22386666,12,0.18884724
AAPL,2022-08-13,0.0,1,-0.92675513
AAPL,2022-08-14,-0.0789,4,0.050252367
AAPL,2022-08-15,0.030691674,12,-0.051752817
AAPL,2022-08-16,0.07413333,12,0.16809775
AAPL,2022-08-17,0.02410833,12,0.12079316
AAPL,2022-08-18,0.032725003,12,0.10596264
AAPL,2022-08-19,0.087233335,12,-0.09234845
AAPL,2022-08-20,0.13286,5,0.044932663
AAPL,2022-08-21,0.14495,4,0.15045166
AAPL,2022-08-22,-0.109008335,12,-0.38715887
AAPL,2022-08-23,0.041808333,12,0.024181306
AAPL,2022-08-24,0.019041667,12,-0.0378288
AAPL,2022-08-25,0.28084168,12,-0.13160656
AAPL,2022-08-26,0.1849,12,0.020310467
AAPL,2022-08-27,-0.013940001,5,0.18243113
AAPL,2022-08-28,0.23763333,3,0.027738774
AAPL,2022-08-29,0.057783335,12,-0.028338082
AAPL,2022-08-30,0.098008335,12,-0.33002818
AAPL,2022-08-31,0.010383333,12,0.017400833
AAPL,2022-09-01,0.14876667,12,-0.11739102
AAPL,2022-09-02,0.1384,12,0.115552254
AAPL,2022-09-03,0.38786665,3,0.055181712
AAPL,2022-09-04,0.7003,1,0.03569226
AAPL,2022-09-05,0.254675,4,0.13798517
AAPL,2022-09-06,0.123775005,12,-0.041628893
AAPL,2022-09-07,0.08039167,12,-0.08477471
AAPL,2022-09-08,0.14567499,12,0.25995967
AAPL,2022-09-09,0.1828,12,0.18203671
AAPL,2022-09-10,0.2083,3,0.13791177
AAPL,2022-09-11,0.0,2,0.072015196
AAPL,2022-09-12,0.2640083,12,0.23512347
AAPL,2022-09-13,0.120299995,12,-0.15901256
AAPL,2022-09-14,0.21845834,12,-0.03423094
AAPL,2022-09-15,0.009166668,12,-0.17714085
AAPL,2022-09-16,0.22974,10,0.040431347
AAPL,2022-09-17,-0.009925,4,-0.2023311
AAPL,2022-09-18,0.0,1,0.042414367
AAPL,2022-09-19,0.024408331,12,-0.28137305
AAPL,2022-09-20,0.299375,12,-0.09535315
AAPL,2022-09-21,0.18059166,12,0.14319044
AAPL,2022-09-22,0.155175,12,0.05760633
AAPL,2022-09-23,0.0020416651,12,-0.2721897
AAPL,2022-09-24,0.0,2,-0.09242393
AAPL,2022-09-25,-0.028766671,3,0.1897722
AAPL,2022-09-26,0.05700833,12,-0.1007317
AAPL,2022-09-27,0.023541665,12,-0.26496723
AAPL,2022-09-28,-0.09556667,12,-0.27379793
AAPL,2022-09-29,0.037699994,12,-0.2544013
AAPL,2022-09-30,0.03683333,12,0.0337669
AAPL,2022-10-01,0.0041199983,5,0.0888257
AAPL,2022-10-02,0.08139999,2,-0.08163296
AAPL,2022-10-03,0.22667499,12,0.12580667
AAPL,2022-10-04,0.22355,12,0.16215202
